track_name,artists,tempo,energy,loudness,valence
Pessoal Particular (Ao Vivo),Seu Jorge,112.942,0.859,-5.832,0.64
Rodnik,Zhanna Bichevskaya,101.993,0.473,-7.25,0.428
Fvck Somebody,The Wrecks,142.079,0.661,-5.196,0.603
Planet Zero,Shinedown,157.925,0.964,-2.967,0.212
Anthracite,Django,100.071,0.459,-8.439,0.14
Sendero Siniestro,Anal Vomit,109.837,0.995,-4.893,0.0743
死の舞踏,Camille Saint-Saëns;石丸由佳,143.35,0.159,-13.897,0.0373
Crazy Arms,Ray Price,117.626,0.287,-9.551,0.701
The Last Supper,Beat Oven,93.033,0.764,-8.859,0.956
Leave Before The Lights Come On,Arctic Monkeys,150.718,0.887,-4.579,0.916
Thank You Note,salem ilese,158.013,0.705,-7.546,0.553
Phutki Jaaney Jovan,Sajjan Raj Vaidya,149.945,0.521,-8.022,0.599
O que combina comigo é você,Zé Henrique & Gabriel,131.996,0.671,-8.135,0.753
Sunyata,Tribal Rain,96.054,0.462,-11.505,0.529
Chop (Nouvelle École),Fresh,143.011,0.801,-6.545,0.486
Fuck The Millennium,Scooter,145.0,0.999,-4.937,0.0878
Don't Let Me Be Misunderstood,Eric Burdon,113.061,0.712,-7.858,0.912
Nur zu Besuch,Die Toten Hosen,108.159,0.299,-7.457,0.137
You Wanna Have It All,Francine,136.02,0.837,-6.377,0.707
Ghostbusters - Lo-Fi,hope mona,116.022,0.596,-11.15,0.756
Hands Up - Single Version,Ottawan,123.291,0.876,-4.249,0.992
Accidental Soccer Coach,Dry Bar Comedy,135.462,0.535,-14.284,0.474
Sobre as Águas,Trazendo a Arca,137.987,0.447,-7.557,0.165
Judicial Slime,Napalm Death,98.179,0.992,-4.898,0.117
Street Life (Edit),Randy Crawford,111.612,0.548,-11.171,0.819
Poing-Jump A Little Higher,Rotterdam Termination Source,154.857,0.991,-5.468,0.849
Zumba,Don Omar,124.981,0.891,-3.494,0.828
The Muppet Show Theme,Little Apple Band,114.979,0.602,-7.955,0.659
Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi;Alejandro Sanz;Arkano,95.973,0.777,-4.456,0.598
Under the Blade,Twisted Sister,194.289,0.89,-3.992,0.433
The Zero Hour,Wildstylez;Headhunterz,149.882,0.906,-6.987,0.0615
The Addams Family,Cooltime Kids,120.233,0.546,-9.254,0.966
I Ain't Worried,OneRepublic,139.994,0.797,-5.927,0.825
Everytime I See You,E-Dee,129.378,0.686,-8.002,0.624
Heera,Peter Cat Recording Co.,116.007,0.606,-11.409,0.77
Full Time Lover,Prateek Kuhad,187.857,0.254,-10.966,0.251
Leech,Angelmaker,125.023,0.98,-4.348,0.0399
Got The Power,Eagles Of Death Metal,143.926,0.882,-4.91,0.658
City Beat,Ron Trent,122.018,0.947,-8.071,0.666
Spoonman,Soundgarden,186.054,0.904,-5.625,0.832
Group Therapy (Messages Pt. 9) [ABGT499D3],Above & Beyond,138.065,0.917,-6.56,0.74
Rome Wasn't Built in a Day,Morcheeba,112.031,0.807,-4.997,0.689
I Feel Free - Remastered,Cream,87.975,0.601,-8.431,0.596
Pran,Ritviz,90.916,0.484,-8.715,0.61
The Pusher,Steppenwolf,81.016,0.47,-9.339,0.69
Aspettando una nuova vita – Reprise,Laura Chiatti,102.277,0.166,-10.467,0.159
Way Maker - Single Version,Leeland,144.045,0.655,-6.384,0.222
Chosen Last,Sara Kays,99.03,0.546,-6.497,0.264
Christmas Without You,OneRepublic,207.478,0.677,-5.645,0.365
Come On Get Higher,Matt Nathanson,92.018,0.623,-5.699,0.617
Nuane,Autechre,108.002,0.583,-11.091,0.408
Vaidade,Heloisa Rosa,125.887,0.443,-9.212,0.191
Abandoned,The Lemonheads,126.728,0.545,-6.574,0.382
Videvisan (Sov du lilla videung),Pernilla Andersson,171.267,0.212,-12.131,0.268
High On Beat - Sofi Tukker Remix,Jan Blomqvist;Bloom Twins;Sofi Tukker,122.023,0.865,-8.661,0.198
Sentimento,Mc Kevin,109.967,0.587,-4.743,0.456
Samba Sambei,Criolo,136.07,0.737,-8.372,0.952
Prada,Arca,95.025,0.712,-6.893,0.35
Hyper Kill,Darko US;Ryo Kinoshita,147.567,0.997,-3.808,0.245
Police the Nation,The Planet Smashers,167.944,0.958,-4.088,0.964
When I’m Gone (with Katy Perry),Alesso;Katy Perry,125.034,0.886,-4.179,0.615
Heartless,Miles Away;braev,148.049,0.644,-4.792,0.308
